ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,LIGHT,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,PROXIMITY,ATMOSPHERIC_PRESSURE,SOUND_LEVEL,LOCATION_LAT,LOCATION_LNG,LOCATION_Alt,LOCATION_Altitude-google,LOCATION_Altitude-atmospheric-pressure,LOCATION_Speed,LOCATION_Accuracy,LOCATION_ORIENTATION,Satellites_in_range,Time,Date
2.7179,3.7041,8.3545,2.3596,4.1791,8.5521,-0.146,0.0588,-0.1447,-0.0207,-0.1425,0.1668,39.0,-31.7,-31.68,-30.94,119.11,-25.22,-15.42,5.0,1011.58,49.344,55.95128,-3.201337,0.0,NaN,,0.0,899.999,0.0,0 / 26,129,2016-06-09 17:44:39:475
8.761,2.1757,-2.3518,9.3967,1.2589,-2.5077,0.5656,1.3765,0.3126,0.0794,0.0556,-0.0356,6.0,-46.02,-10.87,1.41,244.61,-7.38,-104.94,0.0,1011.51,66.095,55.95128,-3.201337,0.0,NaN,,0.0,899.999,0.0,0 / 26,10130,2016-06-09 17:44:49:476
-1.3639,7.7282,-5.1605,0.156,8.5528,-4.7954,-0.9991,-1.335,-0.2773,0.3021,0.7054,-0.5,33.0,-15.48,-36.53,26.36,289.42,-60.71,-178.14,0.0,1011.58,52.798,55.95092,-3.201749,0.0,NaN,,0.0,899.999,0.0,0 / 26,20130,2016-06-09 17:44:59:476
0.6249,7.0131,2.5548,3.2724,9.2442,-0.0772,-1.8707,0.8229,-0.6669,0.0922,0.8109,-0.1059,66.0,-0.79,-32.26,3.52,157.61,-70.5,-91.35,0.0,1011.61,52.639,55.95092,-3.201749,0.0,NaN,,0.0,899.999,0.0,0 / 26,30130,2016-06-09 17:45:09:476
4.7987,6.5203,2.6019,0.7486,9.4245,2.6055,0.9351,-0.3628,2.1308,-0.2838,-0.9926,0.2393,1492.0,-11.73,-31.75,-4.33,100.68,-73.95,-16.03,0.0,1011.42,56.455,55.95092,-3.201749,0.0,NaN,,0.0,899.999,0.0,3 / 27,40130,2016-06-09 17:45:19:476
1.1879,7.3713,2.5171,1.4527,9.6967,0.1854,-0.243,0.531,0.6275,-0.0952,-0.0818,0.0827,3728.0,-20.56,-29.84,0.88,12.86,-81.41,-82.73,0.0,1011.49,55.687,55.95228,-3.200655,126.0,NaN,,21.28,12.0,19.2,10 / 25,50130,2016-06-09 17:45:29:476
4.0412,14.764,-5.9574,1.3113,9.6384,1.2462,0.067,-7.4711,2.0992,0.1455,-0.3033,-0.7227,1385.0,-16.3,-35.32,1.66,73.95,-79.37,-46.46,5.0,1011.71,55.579,55.952248,-3.200071,128.0,NaN,,5.26,3.0,77.4,13 / 25,60130,2016-06-09 17:45:39:476
3.0316,8.4548,3.0222,2.4488,9.3503,1.6572,1.4302,-0.5306,2.618,0.0507,0.0152,0.0092,1783.0,-6.19,-36.34,11.2,132.03,-73.01,-57.78,0.0,1011.91,63.646,55.95175,-3.199671,125.0,NaN,,18.5,4.0,159.2,12 / 22,70395,2016-06-09 17:45:49:741
1.9886,9.4155,0.9768,1.9928,9.5478,1.0188,-0.0086,0.0205,-0.0053,-4.0E-4,3.0E-4,0.0081,1870.0,-7.55,-36.16,13.19,114.84,-76.81,-62.92,0.0,1011.97,74.244,55.951668,-3.199661,119.0,NaN,,0.0,4.0,,13 / 22,80395,2016-06-09 17:45:59:741
2.135,9.4809,1.0804,1.9466,9.5597,0.9967,0.0371,-0.0441,-0.0293,0.0027,0.0215,-0.0164,1870.0,-7.2,-36.51,14.01,118.21,-77.11,-62.89,0.0,1011.92,63.134,55.95168,-3.199683,120.0,NaN,,0.0,4.0,,13 / 21,90395,2016-06-09 17:46:09:741
